company,ticker,asset_type,owner_code,date,type,amount
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/12/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/13/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/25/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/17/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/18/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/21/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/12/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/30/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/20/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/13/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/17/2023,P,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/16/2023,S,15001 - $50000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/19/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/24/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/13/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/12/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/28/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/12/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/10/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/10/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/25/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/21/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/20/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/19/2023,P,1001 - $15000
